"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"8","Richard Heaton","SCS4","First Parliamentary Counsel","Head of the Office of Parliamentary Counsel. Principal responsibility to Ministers to secure the highest standards, in terms of both quality and timeliness, for the drafting and handling of the governments legislative programme and other Parliamentary business. To provide advice to the Prime Minister, the Cabinet Secretary and other Ministers and officials on constitutional and other matters, such as machinery of government changes, Ministerial appointments and Parliamentary and election procedures.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 6640","richard.heaton@cabinet-office.x.gsi.gov.uk","317","","1","155000","159999","","Law","","","http://reference.data.gov.uk/id/department/co/post/8"
"155","N/D","SCS1","Assistant Parliamentary Counsel","Assistant Parliamentary Counsel provide assistance to more senior counsel by working in the drafting teams which draft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","182","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/155"
"161","N/D","SCS1","Assistant Parliamentary Counsel","Assistant Parliamentary Counsel provide assistance to more senior counsel by working in the drafting teams which draft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","187","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/161"
"193","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","173","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/193"
"299","N/D","SCS1","Deputy Director, Senior Policy Adviser","Policy Unit","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","238","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/299"
"304","N/D","SCS1","Deputy Director, Red Tape Challenge","Leads on delivery of Red Tape Challenge work programme","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/304"
"320","N/D","SCS1","Deputy Director, Implementation Reviews","Responsible for senior advisor projects","Cabinet Office","Cabinet Office","Implementation Unit","N/D","flexibleresourcing@Cabinet-office.gsi.gov.uk)","273","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/320"
"140","N/D","SCS1","Deputy Director, Knowledge and Information Management","Head of KIM and Departmental Records Officer for Cabinet Office and No10: responsibilities include responsibility for co-ordination of Department's responses to Freedom of Information, Data Protection and EIR requests; information management policies for electronic and paper formats, management of Cabinet Office and No10 corporate memory, oversight of EDRM systems; scrutiny and preparation of historical material for The National Archives under the Public Records Act; information access casework for Cabinet Office and No10 archives; knowledge management; data protection and copyright; delivery of 'What to Keep' programme; CO contribution to Transparency Agenda; oversight of Official Histories, CO research and library service, the personal archives of former Prime Ministers and others; cross-government co-ordination for the propriety of government records.","Cabinet Office","Cabinet Office","Knowledge & Infomation Management","020 7276 6334","openness@cabinet-office.x.gsi.gov.uk","24","","1","0","0","","Knowledge and Information Management (KIM)","","","http://reference.data.gov.uk/id/department/co/post/140"
"225","N/D","SCS1","Deputy Director, Governance Reform","Deputy Director, PPS to Lord Browne","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","0.6","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/225"
"20","Emran Mian","SCS2","Executive Director, Governance Reform and Partnerships","Responsible for reforming Whitehall governance, in support to Lord Browne and the Minister for the Cabinet Office, to: ensure a substantial increase in the concentration of business expertise in Government through the appointment of Non-executive Directors in every Whitehall Department; improve the effectiveness of Boards in providing the strategic and operational leadership of each Department through working with the Non-executives and with the Permanent Secretaries on their new senior governance arrangements; and drive up performance in the delivery of Departmental business plans and support implementation of HMG�s policy reform agenda. Responsible for managing business relationships on behalf of No.10 and Cabinet Office, and for delivering priority Prime Minister and Deputy Prime Minister Every Business Commits policy initiatives, in partnership with business.","Cabinet Office","Cabinet Office","Core ERG","N/D","emran.mian@cabinet-office.gsi.gov.uk","309","","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/20"
"257","N/D","SCS1","Programme Director, Electoral Registration Transformation Programme","To support the DPM and Minister for Political and Constitutional Reform and to lead the Programme to implement the Coalition Agreement to introduce Individual Electoral Registration","Cabinet Office","Cabinet Office","Constitution Group","2072716412","webmaster@cabinet-office.gov.uk","59","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/257"
"COI6","Vacant","SCS2","Commercial Director","Finance,Procurement & Audit","Cabinet Office","Cabinet Office","Central Office of Information","N/A","N/D","COI1","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI6"
"13","Oliver Robbins","SCS3","Deputy National Security Adviser, Intelligence Security and Resillience","Within the National Security Secretariat, the Deputy National Security Adviser leads on supporting the Prime Minister on: Counter Terrorism; Intelligence Policy; The governance and resourcing of the secret intelligence agencies; Cyber Security; Resilience and crisis management.","Cabinet Office","Cabinet Office","National Security Secretariat","0207 276 1234","NSAaction@cabinet-office.x.gsi.gov.uk","7","","1","120000","124999","","Other","","","http://reference.data.gov.uk/id/department/co/post/13"
