"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"1","Mark Hammond","SCS3","Chief Executive and Accounting Officer","Chief Executive and Accounting Officer, reporting to the Chair and the Secretary of State. Has responsibility under authority delegated by the Board, for the overall organisation, management and staffing for the Commission and for its procedures in financial and other matters, including conduct and discipline.","Home Office","Equality and Human Rights Commission","Commissioner's Office","0203 1170235","chiefexecutive@equalityhumanrights.com","XX","2100000","1","130000","134999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a/post/1"
"1","Mark Hammond","SCS3","Chief Executive and Accounting Officer","Chief Executive and Accounting Officer, reporting to the Chair and the Secretary of State. Has responsibility under authority delegated by the Board, for the overall organisation, management and staffing for the Commission and for its procedures in financial and other matters, including conduct and discipline.","Home Office","Equality and Human Rights Commission","Commissioner's Office","0203 1170235","chiefexecutive@equalityhumanrights.com","XX","2100000","1","130000","134999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a/post/1"
"4","Sheila Kumar","SCS2","Group Director - Regulation","Group Director - Regulation reporting to the Chief Executive and Accounting Officer. Responsible for developing the structures and processes to transform the CEHR into a modern regulator and guide the exercise of its regulatory functions.","Home Office","Equality and Human Rights Commission","Regulation, Group Directorate","0203 1170235","seniormanagement@equalityhumanrights.com","1","2100000","1","105000","109999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a/post/4"
"4","Sheila Kumar","SCS2","Group Director - Regulation","Group Director - Regulation reporting to the Chief Executive and Accounting Officer. Responsible for developing the structures and processes to transform the CEHR into a modern regulator and guide the exercise of its regulatory functions.","Home Office","Equality and Human Rights Commission","Regulation, Group Directorate","0203 1170235","seniormanagement@equalityhumanrights.com","1","2100000","1","105000","109999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a/post/4"
"5","John Wadham","SCS2","Group Director - Legal","Group Director Legal, reporting to the Chief Executive, guides the Commission on its statutory powers and duties and their use in pursuit of the Commission's objectives. Leads on the enforcement activity of all individual strategic cases .","Home Office","Equality and Human Rights Commission","Legal, Group Directorate","0203 1170235","seniormanagement@equalityhumanrights.com","1","2200000","1","120000","124999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a/post/5"
"5","John Wadham","SCS2","Group Director - Legal","Group Director Legal, reporting to the Chief Executive, guides the Commission on its statutory powers and duties and their use in pursuit of the Commission's objectives. Leads on the enforcement activity of all individual strategic cases .","Home Office","Equality and Human Rights Commission","Legal, Group Directorate","0203 1170235","seniormanagement@equalityhumanrights.com","1","2200000","1","120000","124999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a/post/5"
"3","Helen Hughes","SCS2","Group Director - Corporate Management","Group Director - Corporate Management reporting to the Chief Executive and Accounting Officer. Leads the management of change, acts as strategic facilitator to establish the CEHR and embed a high performance culture. Also responsible for the provision of operational services across the organisation.","Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","0203 1170235","seniormanagement@equalityhumanrights.com","1","3500000","1","130000","134999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a/post/3"
"3","Helen Hughes","SCS2","Group Director - Corporate Management","Group Director - Corporate Management reporting to the Chief Executive and Accounting Officer. Leads the management of change, acts as strategic facilitator to establish the CEHR and embed a high performance culture. Also responsible for the provision of operational services across the organisation.","Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","0203 1170235","seniormanagement@equalityhumanrights.com","1","3500000","1","130000","134999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a/post/3"
"2","Richard Emmott","SCS2","Group Director - Intelligence and Engagement","Group Director - Intelligence and Engagement reporting to the Chief Executive and Accounting Officer. Leads the communications team to drive the national agenda on equality and human rights. Also has a critical role of ensuring the CEHR can deliver its stakeholder engagement strategy.","Home Office","Equality and Human Rights Commission","Intelligence & Engagement, Group Directorate","0203 1170235","seniormanagement@equalityhumanrights.com","1","3800000","1","180000","184999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a/post/2"
"2","Richard Emmott","SCS2","Group Director - Intelligence and Engagement","Group Director - Intelligence and Engagement reporting to the Chief Executive and Accounting Officer. Leads the communications team to drive the national agenda on equality and human rights. Also has a critical role of ensuring the CEHR can deliver its stakeholder engagement strategy.","Home Office","Equality and Human Rights Commission","Intelligence & Engagement, Group Directorate","0203 1170235","seniormanagement@equalityhumanrights.com","1","3800000","1","180000","184999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a/post/2"
