"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"9","Richard Bowen","SCS1","HR Director","HR Director","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Human Resources","01905 763355","corporate.centre@ahvla.gsi.gov.uk","1","1408877","1","0","0","","Human Resources","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency/post/9","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","person10"
"5","Glyn Hewinson","SCS1","Chief Scientist","Chief Scientist","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Chief Scientist","01905 763355","corporate.centre@ahvla.gsi.gov.uk","1","13236827","1","0","0","","Science and Engineering","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency/post/5","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","person6"
"2","Simon Hall","SCS1","Veterinary Director","Veterinary Director","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Veterinary Director","01905 763355","corporate.centre@ahvla.gsi.gov.uk","1","933164","1","0","0","","Vets","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency/post/2","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","person3"
"8","Rupert Hine","SCS1","Director of Advice Services","Director of Advice Services","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Veterinary and Science Policy Advice Team","01905 763355","corporate.centre@ahvla.gsi.gov.uk","2","1719156","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency/post/8","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","person9"
"10","Martin Sharples","SCS1","Director for Wales","Director for Wales","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Country Director (Wales)","01905 763355","corporate.centre@ahvla.gsi.gov.uk","6","4534013","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency/post/10","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","person11"
"4","Julie Pierce","SCS1","CIO and Director of Corporate Services","CIO and Director of Corporate Services","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","CIO and Director of Corporate Services","01905 763355","corporate.centre@ahvla.gsi.gov.uk","1","6390882","1","0","0","","Information Technology","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency/post/4","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","person5"
"11","Edwina Thirkell","SCS1","Director for England","Director for England","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Country Director (England)","01905 763355","corporate.centre@ahvla.gsi.gov.uk","6","21505714","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency/post/11","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","person12"
"12","Mike Steel","SCS1","Director for Scotland","Director for Scotland","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Country Director (Scotland)","01905 763355","corporate.centre@ahvla.gsi.gov.uk","6","3677621","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency/post/12","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","person13"
"6","Nina Purcell","SCS1","Chief Operating Officer","Chief Operating Officer","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Chief Operating Officer","01905 763355","corporate.centre@ahvla.gsi.gov.uk","1","14112913","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency/post/6","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","person7"
"7","Joan Skerry","SCS1","Director of Change","Director of Change","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Director of Change","01905 763355","corporate.centre@ahvla.gsi.gov.uk","1","2322188","1","0","0","","Planning","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency/post/7","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","person8"
"1","Catherine Brown","SCS2","Chief Executive","Chief Executive","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","CEO","01905 763355","corporate.centre@ahvla.gsi.gov.uk","XX","1144579","1","130000","134999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency/post/1","/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls","person2"
