"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"B44","John Barrett","SCS1","Deputy Director - Research and Evidence","Leading a team of 17 staff with a budget of 134 million to shape and deliver the UK response to the catastrophic floods in 2010, which were the world's largest ever natural disaster.","Department for International Development","Department for International Development","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B44"
"A29","Shaila Khan Leekha","SCS2","Director - International Finance","Director - International Finance","Department for International Development","Department for International Development","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","95000","99999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A29"
"A44","Les Campbell","SCS2","Director - Value For Money","Director - Value For Money","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","115000","119999","","Finance","","","http://reference.data.gov.uk/id/public-body/dfid/post/A44"
"B43","Chris Austin","SCS1","Head of Stabilisation Unit (FCO, MOD, DFID) (Acting)","Head of Department","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A43","","1","85000","89999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B43"
"A1","Mark Lowcock","SCS4","Permanent Secretary","Permanent Secretary","Department for International Development","Department for International Development","TMG","0845 300 4100","enquiry@dfid.gov.uk","XX","","1","160000","164999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A1"
"A43","Lindy Cameron","SCS2","Director - Middle East, Humanitarian and Conflict","Director - Middle East, Humanitarian and Conflict","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A43"
"B38","James Helm","SCS1","Director - Communications","Director ofCommunications","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","85000","89999","","Communications","","","http://reference.data.gov.uk/id/public-body/dfid/post/B38"
"B52","Sarah Cooke","SCS1","Head of DFID Bangladesh","Leading DFID's policy work on sustainable & inclusive growth; investment climate reform; food and nutrition security; and poverty & vulnerability including social protection/cash transfers and the post-MDG framework.","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A42","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B52"
"A40","David Hallam","SCS2","Director and UK Envoy, Post-2015 Development Goals","Director and UK Envoy, Post-2015 Development Goals","Department for International Development","Department for International Development","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A40"
"A42","Keith Mackiggan","SCS2","Director - ASCOT (Acting)","Director - ASCOT (Acting)","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A42"
"A28","Rachel Turner","SCS2","Director - East and Central Africa","Director - East and Central Africa","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A28"
