"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"B44","John Barrett","SCS1","Head of Profession Livelihoods & Environment","Head of Profession Livelihoods & Environment","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B44"
"B139","Simon McGee","SCS1","Head of News and Press Secretary to the Secretary of State","Head of News and Press Secretary to the Secretary of State","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","B38","","1","85000","89999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B139"
"A29","Shaila Khan Leekha","SCS2","Director International Finance Division","Director International Finance Division","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A10","","1","95000","99999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A29"
"B77","Christopher Pycroft","SCS1","Head of Office, DFID DRC","Head of Department/Overseas Office","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B77"
"B108","Velavan Gnanendran","SCS1","Principal Private Secretary to the Secretary of State","Principal Private Secretary to the Secretary of State","Department for International Development","Department for International Development","DFID","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B108"
"B123","Jennifer Barugh","SCS1","Head of Department Finance and Corporate Performance","Head of Department Finance and Corporate Performance","Department for International Development","Department for International Development","Finance & Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A21","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B123"
"B43","Chris Austin","SCS1","Head of Global Partnerships","Head of Global Partnerships","Department for International Development","Department for International Development","Policy & International","848 300 4100","enquiry@dfid.gov.uk","A24","","1","85000","89999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B43"
"B143","Alan Tollervey","SCS1","Team Leader Reseach and Evidence","Agriculture Team, Research and Evidence Division","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B143"
"B129","Lisa Phillips","SCS1","Head of DFID Kenya","Reducing poverty for Kenyans in a sustainable way, through economic","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B129"
"B133","Neil Jackson","SCS1","Chief Statistician Research & Evidence","Chief Statistician Research & Evidence","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B133"
