"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"B102","Johnston David","SCS1","Deputy Director, Head of Internal Audit and Counter Fraud Unit","Leading the Internal Audit function and the Counter Fraud Unit. Providing advice and support across DFID on issues of risk management, governance and control. Head of Audit Profession for DFID.","Department for International Development","Department for International Development","Finance & Corporate Performance","853 300 4100","enquiry@dfid.gov.uk","A21","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B102"
"B44","Barrett John","SCS1","Head of the DFID-Pakistan Flood Response Team","Leading a team of 17 staff with a budget of 134 million to shape and deliver the UK response to the catastrophic floods in 2010, which were the world's largest ever natural disaster.","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","B89","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B44"
"B75","Pepera Sandra","SCS1","Deputy Director, Head of DFID Sudan","Head DFID Sudan","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A19","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B75"
"B77","Pycroft Christopher","SCS1","Deputy Director, DFID DRC","Head of DFID DRC","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A15","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B77"
"B108","Gnanendran Vel","SCS1","Deputy Director, Top Management Group","Deputy Director, Top Management Group","Department for International Development","Department for International Development","DFID","859 300 4100","enquiry@dfid.gov.uk","A1","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B108"
"B43","Austin Chris","SCS1","Deputy Director, Conflict Humanitarian And Security Department","Head of Department","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A3","","1","80000","84999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B43"
"A1","Mark Lowcock","SCS4","Permanent Secretary","Permanent Secretary","Department for International Development","Department for International Development","DFID","0845 300 4100","enquiry@dfid.gov.uk","XX","","1","160000","164999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A1"
"B50","Cassidy Eamon","SCS1","Deputy Director, Head of trade and Development. Joint Trade policy Unit","Head of Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A14","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B50"
"B91","Wheeler Tim","SCS1","Deputy Director, Deputy Chief Scientific Adviser","Deputy Chief Scientific Adviser","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","0","0","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B91"
"B38","James Helm","SCS1","Deputy Director, Director of Communications","Director ofCommunications","Department for International Development","Department for International Development","Finance & Corporate Performance","848 300 4100","enquiry@dfid.gov.uk","A2","","1","85000","89999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B38"
